stopword removal,score,Sentiment
gak maintanancenya jam pagi bikinmalu aja transaksi jam masuk maintanance payah parah aplikasi lalod parahhhhh,1,Negatif
transfer terjadwal tampil saldo terpotong mohon perbaiki kinerjanya teliti datanya,1,Negatif
gk apl nya sulit utk login utk transfer bolak gagal,1,Negatif
ga top up dana k ga,1,Negatif
transaksi sukses bi fast uang terkirim mohon solusinya,1,Negatif
min tolongsaya diluar negeri pin livin terblokir ganti pin no kartunyasmntara blm kartu fisiknya bantu min,4,Positif
update lamaaaa banget login mandiri nihhh kesell,1,Negatif
knapa d buka d hp poco c,5,Positif
aplikasi perbankan aneh provider banget gangguan indosat buka aplikasi lancar jaya,1,Negatif
proses verifikasi wajah susah ikutin arahan yg sdh d tetapgak,1,Negatif
membantu tpi kadang suka susah buka tolong diperbaiki,5,Positif
aplikasi jelek g kyk mbca kalo pake wifi indihome susah masuknya kalo pake data lancar payah bgt sistemnya jaman udh canggih lemot aja,1,Negatif
gak bisamasalah kode otp masuk sms gak buka layanan sedia,5,Positif
lunas kakbiasanya lngsung limit jt,5,Positif
error,1,Negatif
gak repotrepot uang,5,Positif
hapus riwat transferkok susah,3,Positif
verifikasi otp,1,Negatif
good excellent,5,Positif
ga login dibilang os bermasalah payah developer aplikasinya aplikasi banking aman,2,Negatif
transfer bank mandiri bri status mandiri berhasil uang masuk bri ndk bangettaku udh wa mita mandiri udh chat ig udah chat gmail kali aja jawabannya bertele tele kembalikan uang,1,Negatif
aplikasi ga support ama os redmi note pro plus g alhasil ga gunain appss livin hp hadehhh min perbaikin dung min sy beli hp yg butuh bet ama ni livin transaksi min tolong min diperbaikin,2,Negatif
okay lancar memudahkan transaksi trimakasih bank mandiri,5,Positif
mudah bertransaksi,5,Positif
livin gabisa login tulisannya layanan tersedia mulu gajelas bener livin,1,Negatif
verifikasi nya susah dah berkedip ngasi lempoh,1,Negatif
bank perampok online saldo topup hilang langsung history nya ads berhasil chat cs nya gak respon udah kirim komplen gmail gak tanggapan,1,Negatif
livin perbaikan peningkatan,4,Positif
membantu m livin,5,Positif
aplikasi nya bussuk butuhkan perbaikan menerus keluhan penggunanya perubahan,1,Negatif
menjadikan aman,5,Positif
buka aplikasi nya lam bnget msih stuck layar livin gk masuk masukudh hp msih gk jln,4,Positif
tau gabisa diakses yaa livin,2,Negatif
mohon pilihan ksm muncul livin,5,Positif
koq gagal verifikasi wajah,1,Negatif
duit hilang transfer rekening bank notifikasinya berhasil transfer duit tf ga masuk rekening kecewa,1,Negatif
okmantap,5,Positif
aplikasi bgus,5,Positif
membantu,5,Positif
udah thn pake aplikasi tpi kali gabisa dibuka disuruh perbaharui sandi giliran perbaharui gabisa nunggu keamanan jam sengaja nunggu biar kebuka tpi ttep gabis gimana min solusinya,3,Positif
bertahuntahun pakai aplikasi sejarah nya kesal aplikasi tdk buka hp nya tdk resmi mendukung buka nya lemot jaringan penuh,1,Negatif
terimakasih pelayanannya,5,Positif
masuk ga,5,Positif
aplikasi error kali susah akses beban aplikasi,1,Negatif
puas pelayanan aplikasi,5,Positif
mudah canggih cepat,5,Positif
tolong livin mandiri nya terima kode otp kluar gambar perangkat tersedia livin kantor cabang tunggu minggu taoi ko minggu,1,Negatif
system operasi didukung nya dihandphone yg,2,Negatif
mohon bantu,5,Positif
setor tunai mandiri setor uang jam sore uang masuk tersedot tertulis dimonitor transaksi tertunda terbuka cuman uang k resi tulisan transaksi tertunda lapor cuman kuang d setor jtpilih bank kecuali terpaksabalasan udah hubungi rating disiniemang mandiritak ikhlas,1,Negatif
berjibaku aplikasi sampah bumn,1,Negatif
terkadang lemot,4,Positif
customer service kebijakan banknya,1,Negatif
tolong benahi pengaduan tlpn mengadu pulsa habis teratasi,1,Negatif
refund dana gak banget transfer qrish uangnya nyangkut dimana livin nya berhasil akun tujuan,3,Positif
bnyak msalah blkngan ngak buka livin,1,Negatif
susah masuk livin kah suruh lapor cs yah laporan kalo aplikasi nya lelet buka pakai kah,1,Negatif
payah milik negara nyebelin lemot aplikasinya,1,Negatif
force close mulu,1,Negatif
kasih bintang update yg terbaru aplikasi buka hp redmi hp root,4,Positif
aplikasi lambat,1,Negatif
tolong perbaiki verifikasi wajah berulang kali coba gagal mengikuti saran yg anjurkan,1,Negatif
daftar ulang gak trus muncul fitur tersedia,3,Positif
ga top up pulsa axis tolong aplikasi kalo ga niat bikin aplikasi dah update gajelas aplikasi,1,Negatif
aplikasi nya skrg lemot bgt maintenance kdang gk dibuka kalo pas pake payment mengecewakan tdk disebelah,1,Negatif
aplikasi mmbntu biaya administrasi pmbyaran apapundan efektif mlkukan transaksi pmbyaran jenis nya,5,Positif
livin gak loginmohon solusinya,1,Negatif
update versi terbaru takut karna ngeluh koment alhamdulillah lancar update versi terbaru ntar aja deh,5,Positif
kemarin gak buka,5,Positif
livin mantap,5,Positif
livin mandiri aneh temen transfer notifikasi reversal uang nya biaya sekolah,1,Negatif
jelejelekkkk bgtt kebayakan maintance k malam pemalas,1,Negatif
mantap mempermudah pembayarn,5,Positif
ga transfer gagal ulangin menit udah jam ga lawak lawak,1,Negatif
susah kali tf diatas jam malam,1,Negatif
kalo malem kebanyakan offlinekadang bangat klo orang lg butuh gimanaga ngotak bangat,1,Negatif
nda bagus mandiri pemeliharaan mending pake bank aja,1,Negatif
bintang aja deh aplikasi livin aplikasi nyusahi pemeliharaan ga rekomen banget livin pemeliharaan ga yg nyusahin orang transaksi kudu nunggu pemeliharaan payah payahh,1,Negatif
offline nya jam aja,1,Negatif
membatu puas nyaman,5,Positif
livin gak login sinyal bagus siang malam pagi ajah gak masuk,2,Negatif
top up gak butuhnya ribet,1,Negatif
kenap hp oppo as buka,1,Negatif
saldo berkurang ribu alasan potongan admin tpi,1,Negatif
kode verif bgt mmk,1,Negatif
verifikasi wajah aja susah banget udah kali nyoba tetep aja gak,4,Positif
mendaftar aplikasi nya disuruh hubungi registrasi ulang tolong gimana,1,Negatif
kasih dlu aneh tf gagal aaldo jt tg jga engga tf tgl kacau topup ewalet tapai limit topup,1,Negatif
aplikasi livin mandiri sy ga bs pakai,4,Positif
masuk perbaikan,5,Positif
salah masukan pasword masukan nomor kartu kartu kadarluarsa berlaku tarik tunai livin mandiri,5,Positif
livin kacau banget erornya asli deh ganti bca ah elah,1,Negatif
biometrik tolong tambahkan face id login fingerprint in display suka terbaca semoga next update biometrik face idnya,1,Negatif
kendala gk dibuka info livin udah harian,4,Positif
buka aplikasi livin restart hp,1,Negatif
ngak masuk,2,Negatif
error log in,1,Negatif
perbarui aplikasinya gak masuk sistem operasi mendukung penggunaan livin alhasil gak pake aplikasi,1,Negatif
ampun dah kirain aja yg gak log in berjamaah perbaiki kalo gak pindah saldo k bank,1,Negatif
loading x pas masuk pdhl jaringan bagus x,3,Positif
min jual saham saldonya gx masuk saldo rdn mohon tindak,1,Negatif
gabisa isi pulsa,1,Negatif
gangguan gagal,5,Positif
bagus membatu,5,Positif
aplikasi eror aktivasi wajah,1,Negatif
menghapus daftar transfer gagal terhubung norek yg numpuk daftar,1,Negatif
tolong bantu biar ngga lemot verifikasi ulang disuruh daftar ulang,4,Positif
aplikasi gak,1,Negatif
semenjak livin terbaru susah terbukauda kali konfirmasi kantor mandiri login,5,Positif
burik pelayanannyamau dihapus aplikasi hny berat ruang memory sdh gk manfaat aplikasi y tdk sprti yg disebelah,1,Negatif
terkait bug crash aplikasi,1,Negatif
bagus kedepanya ditingkatkan kalo saran transfer bank beda bank tolong gratiskan x perbulan hadiah gimana benefit saldo nasabah potong perbulan saldonya xixixi,5,Positif
mengecewakan gak dibuka,1,Negatif
terimakasih,5,Positif
loading refresh mulu,3,Positif
bagus ribet,4,Positif
hallo livin pas bukalogin ulang aplikasi gak bertuliskan layanan tersedia dibutuhkan normal,3,Positif
aplikasi bermasalah login restart ho transaksi top up aneh,1,Negatif
mudah smg tingkat keamanannya bs percaya,5,Positif
kaga chat cs livin yg memudahkan nasabah kontak wa kaga nya tlpn call center nyedot pulsa nya kaga ngotak tlpn abis nya k gilee kesini ribet top up dana aja transaksi gagal mulu keterangan transaksi gagal nomor temukan aneeeh emang,1,Negatif
ko hp ga buka aplikasi kemarin knp yg normal aja pake aplikasi,4,Positif
livin susah buka mbanking nyoba buka susah nya muter update susah buka,4,Positif
palikasinya loading dibuka,5,Positif
ngpa mao buka aplikasi nya gk,1,Negatif
jelek banget keseringan maintenance paraaaaaaahhhhh,1,Negatif
aplikasi perbankan membantu nasabah paham kebutuhan menunjang perkembangan aktivitas bisnis sehari,5,Positif
tolong bantu,5,Positif
susah banget buka aplikasi yaaa,4,Positif
mental ga daptar,1,Negatif
ceritanya dana masuk perusahaan jt kegiatan kerja rekening blokir dana hold konfirmasi pemberitahuan saldo nol pusing keliling cari gantinya ahirnya phk kerjaan sungguh bank mandiri diambil uangnya kum aktif semoga allah membalas neraka jahanam,1,Negatif
buka mental,2,Negatif
ofline,1,Negatif
hobi gangguan,2,Negatif
loading lambatsinyal wifi bgus data bagusudh gitu transfer gagal saldo ngurangin mna kagak lgi,1,Negatif
udah donlod aplikasi livin ngk d buka y,5,Positif
gak telpon call center gak masuk web ngulang ngulang mandiri kesini aneh gini,1,Negatif
sy paksi livin alhamdulilah ad kendala,5,Positif
kenpa sekrang ganti hpdan bgi masuk blik livingsudah nggk yaberulang msuk dlm perbaikan dah blanlangsung bank nggk kena tunggu smpai,1,Negatif
livin maintenance kah,4,Positif
malam maintenance butuhnya transaksi maintenance,1,Negatif
takut gak acc pinjam,5,Positif
aplikasi penipu registrasi livin login salah pin kali langsung diblokirterus hapus data livin download ulang registrasi kasih pin diblokirdan kartu debit,1,Negatif
tolong min bantu rpt,1,Negatif
gangguan gak masuk melulu,2,Negatif
knapa lelet sussah login,1,Negatif
fitur menghapus rekomendasi tranfer yg tersimpan,2,Negatif
solusi mengaktifkan power cash livin,5,Positif
saatau buka aplikasi stuck logo livin tolong developer nya perbaiki bugnya,4,Positif
living tdk terbuka,5,Positif
sediain buka kartu debet nya e ktp digital karna jaman jarang blangko ktp nya hilang tolong perbaiki titip gak bikin,5,Positif
gara mandiri rugii saldo hilang tf,1,Negatif
aplikasi buruk,1,Negatif
aplikasinya dibuka ga login,1,Negatif
livin mandiri gampang memblokir rekening nasabah,4,Positif
knp dr siang ga bs login,1,Negatif
mandiri ka loading aja ngesetak logo aja jaringan telkom paket pulsa masuk tolobg perbiki,4,Positif
livin bobrok aplikasi,1,Negatif
suka aplikasi dn membantu,5,Positif
rekening smp skr ga,1,Negatif
aplikasi akun fitur ksm nya,4,Positif
tolong munculkn pinjmana ksm bank mandiri terima kasih,4,Positif
aplikasi mandirinya eror kena bug,4,Positif
ngambil uang livin tulisan eror uang berbunyiengitung uang tlp buatkan laporan dibjanji hubungi wa email gak kabar uang kepotong uang nya ribu gimana tanggapan nya,5,Positif
mohon maaf izin masuk akun livin ga pdhl data valid bilangnya keamanan adakah solusi livin biar masuk akun,3,Positif
mantap sayangpengiriman kartu kerjanyatanya sebulan kunjung tibabahkan saldo mohon tinjau terima kasih,4,Positif
kirim otp via sms gak masuk iya nunggu sejam gitu gitu,2,Negatif
aplikasi berubah tgl menawarkan kartu kreditdebet bikin tabungan dibawah menu yg diawal buka aplikasi nggak transaksi mbanking,3,Positif
livin paylater aktivin,5,Positif
tolong min aplikasi nya hp versi android gak login gara versi hpnya,4,Positif
update buruk loading halaman,1,Negatif
tolong kak bantu biayar ksm d aplikasi sepet tp sekarng hilang lgi tolong y kak,5,Positif
aplikasi bagus memudahkan bikin rekening,5,Positif
login gimana ganti hp trs blm kartu fisik debit buka tabungan online,3,Positif
admin livin mandiri tolong fitur hapus riwayat mutasi transaksi bulanan bintang,4,Positif
tolong bales udh email gada balesan tf udh berhasil saldo ga masuk masuk nyesel bet kali pake mandiri lngsng gini tf ga masuk laporan jug gada solusi gada balesan,1,Negatif
bagus kali selfi verifikasi gagal,1,Negatif
livin gimana ganti hp masuk livin tp verifikasi wajah berhasil muncul tulisan verifikasi tambahan bank cabang tp ttep g gimana solusinya,1,Negatif
bagus masak ngak terdaftar,1,Negatif
bank ribet,1,Negatif
jelek masak ganti pasword udah gitu kode otp nya ngirim nya lelet,1,Negatif
tanggal februari tanggal maret janjikan kembalikan pembayaran tertunda alami tanggal februari pengembalian hak dana milik kembalikan mengisi form perintah admin tanggal februari tindak livin by mandiri,1,Negatif
verifikasi wajah gagal terusparah,1,Negatif
lemot inj aplikasi nyebelin,2,Negatif
hdc censel wae rebo,1,Negatif
apl perbankan yg simpel mudah terbantu dngan livin gampang banget,5,Positif
ko lemot bgt,5,Positif
kak pas buka aplikasi nya tulisan mengecek silahkan coba malam siang pas buka aplikasi tulisan kak,5,Positif
force close hapus aplikasi pasang buka haddeehh gimana transaksi kyak gini,2,Negatif
buruk susah loading,1,Negatif
suruh ubah password mengaskes akun ribet ilang susah masukin nomer kartunya udah mah uwang d mbngking nya tf susah masuk bikin ulang pas ilang malh ribet org nya,3,Positif
aplikasinya terbuka blum terhubung,2,Negatif
alhamdulillah terselesaikan berkat livin terimakasih mandiri,5,Positif
jelekk udah update serinng gak dibuka livinnya loading buka kaga ngeganggu aktivitas,1,Negatif
aplikasi resmi bank mandiri,5,Positif
suka lola muter,5,Positif
pemeliharaan sitem ga selesai,3,Positif
bagus mempermudah unik mengontrol uang masuk,5,Positif
parah gk login aplikasi inipindah bca terbaik,1,Negatif
mudah,5,Positif
isi data verivikasi selesaitapi aplikasi jalan,1,Negatif
gak kendala nunggu fitur paylaternya gak munculmuncul kpr aduh min udah rumah mo ngapain nyicil rumah,5,Positif
benci bat lgi urgent pemeliharaan capek gua jan pake livin ganti bank aja,1,Negatif
membantu,4,Positif
knapa gak pinjaman yah pdahal udah pakai livin by mandiri tolong perbaiki l,5,Positif
puas,5,Positif
sukses bank terbaik,5,Positif
nggak masuk,2,Negatif
lihat aplikasi livin sukhatv rekaman acara menarik ditonton nilai livin dibandingkan mobile banking bank biaya administrasi bulanan hiburan sukhatv bank bca bni bri dll yg miliki rekeningnya bayar administrasi bulanan manfaat tambahan nasabah,5,Positif
aplikasi livinnya knp loading muter ga login ga bs transaksi deh,1,Negatif
hp sistem yg resmi maksudnya sdh gunain livin eh error skg gk skg aplikasinya,1,Negatif
aplikasi livin masuk aplikasiterkeluar sendirisudah download berkali kali masuk aplikasi nya,2,Negatif
mudah peraktis,5,Positif
bsa kmbali habis update gk bsa buka livin,5,Positif
bayar tagihan telkom ko,2,Negatif
login,1,Negatif
mantapp sudh min thanks,5,Positif
cepat disuruh mengurus buka rekening kendala bantu dilempar kesana kemari mandiri thamrin kabupaten bogor digitalisasi pembukaan mencari uang new customer kendala birokrasinya serba manual shame on you bank mandiri,1,Negatif
knapa login bilang aplikasi pemeliharaan pergi kantor cabang suruh tungu dah tetep nggak login,2,Negatif
tiket unavailable trus server down gimana dah jdi kga dpt tiket timnas dah,1,Negatif
livin gak dibuka,2,Negatif
saran lelet x buka livin gk paket nya buka payah,5,Positif
parah lemotttt,1,Negatif
susah login masukan kode otp gagal ga,1,Negatif
masuk livin ehh mentall terusss bralih sebelah,1,Negatif
rekening gampangtransaksi gampang,5,Positif
system oprasi mendukung minimal android biar buka,3,Positif
gagal verifikasi wajahpadahal wajah sendiritolonglah mempersulit,3,Positif
knp livin tdk login,4,Positif
gak dibuka aplikasi nya jaringan bagus tf susah,1,Negatif
lifin g dibuka,3,Positif
segi keamanan,5,Positif
aplikasi verifikasi wajah uns install ulang,1,Negatif
hp force close yah androidnya support,4,Positif
masuk livin layanan peningkatan udah minggu gak,2,Negatif
aja,3,Positif
mohon aplikasi nya d update kompatibel folder aman samsung knoxvoult skrng mentok verifikasi wajah,5,Positif
aplikasi error gak masuk,5,Positif
update mulu,1,Negatif
gak transfer,3,Positif
bank mandiri mantap,5,Positif
kesini banget potongan deh heran admin saldo minimum saldo rekening tolong perbaiki kebanyakan potongan,3,Positif
busuk,1,Negatif
login karna kartunya matisudah datangi kantor cabang solusi disuruh menunggumau transfer ribet,1,Negatif
kesini gjls livin gess gak transaksi transfer top up aja ga fitur kali ga dipake jg kacau mamdirikalo pindah bca gess,1,Negatif
sekedar livin fitur pinjamannyaterima kasih,5,Positif
ga kolaborasi pssi gausah mitra transaksi ga layar stack doang gua kirain d hp gua taunya yg kocak bumn,1,Negatif
masuk daftar gimana aplikasinya tolong perbaiki,1,Negatif
login mandiri livin gara restart hpsudah dibilang ga berfungsi hp pakai livin hancur aplikasi nya,1,Negatif
potongan meresahkan biyaya admin biyaya saldo minimum biyaya admin kartu debit x gilaaaa gragas potongan nya ga rekomendet,1,Negatif
login ganti sandi mulu,1,Negatif
aplikasi transfer,5,Positif
dibuka,3,Positif
ambil selfi susahnya ampun sistem mumpuni g pakai aplikasi,3,Positif
tolong dongsetiap pagi aplikasi ga dibuka,2,Negatif
tolong buka paylater,5,Positif
fitur auto car sufah update,4,Positif
program pijaman livin,5,Positif
the best,5,Positif
okp,5,Positif
saldo berkurang merugikan,2,Negatif
kecewa aplikasi eror eror sampe download ulang aja eror perubahan data ttep gak bsa kecewa kecew,1,Negatif
susah verifikasi,1,Negatif
lemotnya ampun tolong terkait benahi sistemnya lelet susah dibuka update parah lemot nya,1,Negatif
will change if i pass my kyc process to login to the aplikasi edit blocking my actual card,1,Negatif
aplikasi rewel tf topup,1,Negatif
mengatasi akun blokir,3,Positif
gabisa masuk muter,1,Negatif
susah kali password aja,3,Positif
kalo pemeliharaan nya jgan orang urgen jd susah transaksi nya,1,Negatif
maintenance malem emang gk jam ajahasuuu,1,Negatif
aplikasi tololjam genting pemeliharaan,1,Negatif
aplikasi livin nlm gunakankrn isi data blm bisatrima kasih,4,Positif
kebanyakan maintenance pengguna nyaman tranfer malam,2,Negatif
aplikasi seringan eror susah transaksisangat mengecewakan membantubukanya mempermudah tp mempersulitharus bolak,1,Negatif
karna aplikasi rekening bank mandiri milik pribadi,5,Positif
tolong bantu transfer uang ku,5,Positif
susah verifikasi loading,1,Negatif
qris transaksi status menunggu saldo gabalik,1,Negatif
minn aplikasinya ngk buka katnya terhubung info minnn,1,Negatif
mantul,5,Positif
paraaah nya autodebit merugikan nasabah bisanya by sistem merugikan,1,Negatif
menginstal aplikasi,5,Positif
livin gak transfer livin qris gak udah hapus dowload livin nya tetep gk,1,Negatif
dah update ga buka tau gitu ga uang nya,5,Positif
terbuka jrigan bagus,5,Positif
transaksi aplikasi berharap perhatian perihal terimakasih,1,Negatif
aplikasi livin buka kemaren buka lancar gabisa buka suruh daftra ulang,1,Negatif
gajelas mending ganti rekening aja tranfer aja gabisa gegara pengaturan udah dibenerin bolak sampe malu pas bayar qris benerin sekelas mandiri ginian aja gak becus kecewa berat,1,Negatif
aplikasi enggk nunggu kode otp email udah kek nunggu dapet giveaway tiket umroh,1,Negatif
livin mandiri gak login harap penyedia aplikasi perbaharui aplikasi nya,2,Negatif
top up emoney mandiri menggunalan aplikasi gopay tpii saldo gopay terpontong saldo emoney bertambah,1,Negatif
kalo ga kantor mah gamau pake mandiri dipersulit bangat tranfer duit ga tolong dongg mandiri cari duit instal aplikasi orng suruh uninstal instal gitu paket abis instal aplikasi hasil tetep ga tf kalo tf ga gimna kudu kantor cabang gitu buangwaktu ajh kesel,1,Negatif
buruk sekelas bumn bikin aplikasi jelek topuptf alasan seting dihandphone normal aja x mengalami jelek,1,Negatif
mengecewakan top up emoney laporan email saldo dikembalikan laporan bank uang dikembalikan syarat emoney ditahan ganti uang dirugikan,1,Negatif
saldo kepotong kemarin sisa saldo giliran isi trs tf lgi saldo mencukupi cek sisa saldo yg kemarin udh kepotong,1,Negatif
buruk nyusahin orang beli tiket,1,Negatif
transfer top up livin dana kadang gagal tolong diperbaiki,3,Positif
dipake transaksi error keterangan cek pengaturan otomatis pengaturan hp otomatis,1,Negatif
pelayanan ramah,5,Positif
fitur,1,Negatif
kanapa bayar transaksi aja gak ngak salah loh aneh banget mandiri settingan otomatis disuruh atur apanya diatur bambang bumn bobrok gini menejemen nya,1,Negatif
pelayanan ramah memuaskan,5,Positif
xiaomi hyperos permintaan diproses sistem operasi handphone mendukung penggunaan livin keamanan handphone sistem operasi resmi informasi hubungi mandiri call,1,Negatif
ngelag gak dibuka kacau,1,Negatif
bgus,5,Positif
gak aktivasi ulang mbanking mandiri kebingungan aneh banget bank,1,Negatif
password salah suruh ganti masuk data diisi tulisan pakai password dipakai diganti muncul,1,Negatif
tolong diperbaiki minaplikasinyasetiap transaksi mesti setting jam non aktipkan otomatisnya trus dinyalakan trus diresrtat hpnya aplikasinyakalo diperbaiki kasi bintang,3,Positif
membantu mempermuda transaksi,5,Positif
kmren terima transfer bukti resit nya mbanking nya gak masuk kecewa bnget gaada kesalahan apapun,1,Negatif
rekening mandiri cabang brebes hrs pk domisili yg tdk ktp sesuai alamat cabang mandiritdk bang yg sebelah praktis domisil bs langsung jd tatap mukaperbaiki sistem yg efisien jgn pk model susah,1,Negatif
gak nyaman masuknya susah,1,Negatif
aplikasi susah log in,1,Negatif
nggak daftar rekening mencet daftar rekening aplikasi,1,Negatif
perbiki aplikasinya bos maintenance gangguan kalah brimo wkwkwk,1,Negatif
aplikasi gajelas login pas verifikasi muka gagal,1,Negatif
aplikasi ga jalas susah masuk,1,Negatif
daftar gangguan kah,5,Positif
bagus,5,Positif
nggak login,2,Negatif
saran aplikasi nya dipercepat diperbaiki login nya mbanking menunggu login selebihnya,5,Positif
aplikasi eror aplikasi eror,3,Positif
mandiri kualitas layanan buruksaldo tertahankarna pinjamanehhh pikir uang daunmain tahan tahan ajakami susah tolong uang tahan,1,Negatif
lelet penanganannya email antrean sampe wa g dpt jawabn nelpon ga ngasih solusi,1,Negatif
aplikasi mbanking terparah lemotnyajangan blg karna jaringan mbanking bank lancar ajabahkan dicabangnya suka eror udah dr livin diluncurkanparah livin ga berubah,1,Negatif
muncul pengaturan jam,1,Negatif
knp livin sy gk buka hapus ontal ulang tetep sj gk mohon bantu sy,4,Positif
pelayanan bank nya bagus,5,Positif
bagus buka detail tagihan knp force close,3,Positif
error mulu,1,Negatif
bertahun pake livin knapa skarang bgt error transaksi cek pengaturan jam yuk jam otomatis kmarin liat komen disuruh call gak gratis gak jam sebenernya dimana dicoba seting jam otomatis clear cache restart hp kunci jam aplikasi dll,1,Negatif
habis perbarui masuk setelahnya jaringan hp lancar,4,Positif
mengecewakan mengganti nomor hp ajh sesah nya ampun,1,Negatif
tolong perbaikilah data cocok data pas tolong benerin secepatnya,1,Negatif
udah gak buku tabungan jd ngeri tf gagal quris gagal terpaksa pakek,2,Negatif
membuka rekening tabunganku livin gimana,3,Positif
aplikasi setting butuh rewel banget,1,Negatif
aplikasi bangke masuk nya lemot bgt,1,Negatif
best,5,Positif
min tolong perbaiki transfer minimum terimakasih,3,Positif
gak top up,5,Positif
upaya normal tf top up aja transfer gimana transaksi normal semenjak update jdi rewel eror,2,Negatif
sanggant memuaskan,5,Positif
livin semenjak update mao login susah banget malu gw bikin nunggu kasir mo login aja stalk mulu,1,Negatif
membership fee credit card mandiri gak kegunaannya kena biaya,1,Negatif
menyusahkan pengaturan jam trnsaksiuang aj bikin ribet,1,Negatif
aplikasi sampah eror mulu top up gagal disaat genting,1,Negatif
interface kebanyakan tingkah fungsi gak aplikasi sampah menuh menuhin rom dihp tf gagal diatas jam malem aplikasi gak dipake,1,Negatif
knp tdk transaksi mandiri livin jam jam,5,Positif
tolonglah selalunya ganguan pagi gak tindakan pdhl yg memakai apknya loh tolong perbaiki trimakasih,1,Negatif
males pake livin pemeliharaan sistem muluuuu,3,Positif
kacau dah eror ni mandri pemberia tahuan pengiriman batal saldo ambil sampahhhhhh,5,Positif
top up ewallet repot nya top up gk ad masalahtapi barubaru top up muncultransaksi dilanjutkannomor ditemukanpadahal top up nomor aplikasi updatesaldo mencukupinomor tolong diperbaiki mempermudah konsumen,1,Negatif
kecewa kali hilang uang seandainya transferan terjadwal seizin pemiliknya nominal berbeda,1,Negatif
seringkali error bank,2,Negatif
topup transaksi,1,Negatif
memperbaharui password gimana,5,Positif
aplikasi tolol transaksi gk karna pengaturan jam bodoh bumn gk kerja,1,Negatif
bank mandiri pasuruan kota tgl full trouble,1,Negatif
tolong proses hubungisaya lupa paswordnya karna sidik jaridan tau nomornya karna emg blm menggunakannya tolong d proses berteletele,1,Negatif
tolong bantu loginnnn livin clear cache login lupa no rek nya hafal cvv bulantahun exp sajaa tolong chat email mohon dibantu sayang banget,3,Positif
ijinkan,1,Negatif
daftar,1,Negatif
mengajukan ksm mandiri nama pt blokir bi checking bagus mohon bantuannya mandiri karyawan pt mengajukan ksm,4,Positif
suka banget membantu eh bbrp minggu kmdian log in ga namanya buka lgsg ngira hp ku yg lemah sinyal tp kesini eh kesanaaa kecewa tolong update loh akuuuuuuuuu skrg aja lg buka aplikasi udah kali mental trs hufft capek deh tolong yaaaaaa,1,Negatif
pelayanan nya tdk lengkap susah gk masuk akunya sma skli,1,Negatif
kesini nyesel pake aplikasi ribet nggak nggak kayak aplikasi bank sebelah,1,Negatif
mudah membantu untk transaksi apapun,5,Positif
parah pakai data wifi gak buka,2,Negatif
aplikasi nya bermslah kadang tda buka,3,Positif
dah gak masuk livin abis uninstall hadehhh,1,Negatif
bobrok transaksi gagal,1,Negatif
buruksusah login,2,Negatif
verifikasi wajah gagal tolong perbaikio,5,Positif
tdk bsa login k gmail mhon diperbaiki lg,2,Negatif
mudah,5,Positif
sumpah darah login muter mulu butuh transaksi mendadak ni,1,Negatif
aplikasi sampah login muter mulu transaksi gk kgk login urgent banget,1,Negatif
susah buka sampe kesel,1,Negatif
engga tau internetku buka aplikasinya susah,3,Positif
permasalahan setting hp top up tf dihp pas berubah tolong perbaikannya buka,1,Negatif
gimana masuk aplikasi lambat banget kagak masuk benerin sinyal kenceng,1,Negatif
saldo masi ad rbu tibatinggal rbu,1,Negatif
menyebalkan kali buka aplikasi tf muncul pengaturan dll apalah gatau kalo jg urgent tolong perbaiki aplikasinya,1,Negatif
fitur pencarian via tanggal keren,1,Negatif
gak transaksi,3,Positif
lemot bgt aplikasinya ga kebuka buka,3,Positif
fitur fitur transaksi transfer top up yakali tf topup trx transfer top up muncul notif proses dilanjutkan disuruh cek pengaturan jam pengaturan jam handphone otomatis sesuai jaringan coba refresh berkalikali hasilnya nihil upgrade aplikasinya restart hp,1,Negatif
aplikasi livin mandiri dibuka sistem operasional handphone mendukung livin mandiri perangkat resmi nya aman aman perangkat yg xiaomi mi ultra,5,Positif
ribet banget ganti nmr living aja sampe berminggu verifikasi tnggu dri pusat ngk tau bisanya csnya aja ngk tau bisanya kabar yg nasabah mending pindah bni,1,Negatif
tgl maret loading parah hp apl nya,5,Positif
ganti pasword memasukkan kode pin kartu kredit aman kah,4,Positif
habis upgrade hyperos android xiaomi t tdk bs pakai livin os tdk kompatibel ayo mandiri update gk kenal os perangkat pake livin pake hp,1,Negatif
ganti no hp ko daftar nya lgi susah banget,1,Negatif
sarankan mending ga udah nyentuh aplikasi nyesel banget download aplikasi sumpah transfer batas minimum saldo minimum banget,1,Negatif
lelet buka aplikasinya tuk login aja menit mohon perbaiki,2,Negatif
livin apps susah buka lemot status jaringan g tlg developer apps wajib memperhatikan spt bikin apps klo lemot mohon diutamakan efektifkannya terima kasih,4,Positif
server nya lemot kaga buka internet yt aman cepet livin loading aneh cabut aj dr bank,1,Negatif
februari kemaren kecewa livin transaksi gagal wes pakek livin aman aman aja,1,Negatif
mengunakan,5,Positif
transaksi apapun error tahap masukkan pin tertera tulisan cek pengaturan tgl otomatis pengaturan handphone otomatis restart update install ulang mohon mengatasi terima kasih,5,Positif
gajian main tertahan jatuh tempo mksudnya coba kemarin coba top up ribu hilang doain semoga balasan seng setimpal amin,1,Negatif
